creative,uid,feature,model,train,tone
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,text,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,text,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,text,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,text,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,text,nb,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,music,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,music,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,music,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,music,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,music,nb,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,both,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,both,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,both,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,both,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,both,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,text,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,text,nsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,text,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,text,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,text,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,music,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,music,nsvm,1,1
