creative,feature,model,train,tone
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,text,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,text,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,text,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,text,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,text,nb,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,music,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,music,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,music,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,music,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,music,nb,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,both,lsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,both,nsvm,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,both,knn,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,both,rf,1,1
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,both,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,text,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,text,nsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,text,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,text,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,text,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,music,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,music,nsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,music,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,music,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,music,nb,1,1
GOV/AK WALKER&MALLOT LIFELONG,both,lsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,both,nsvm,1,1
GOV/AK WALKER&MALLOT LIFELONG,both,knn,1,1
GOV/AK WALKER&MALLOT LIFELONG,both,rf,1,1
GOV/AK WALKER&MALLOT LIFELONG,both,nb,1,1
GOV/AK WALKER&MALLOT MY DAD,text,lsvm,1,1
