creative,uid,train,music1,music2,music3,music4
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,0,0,1,0,0
GOV/AK WALKER&MALLOT FIVE YEAR OLD,9vtaQo5aNOc,1,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,0,0,1,0,0
GOV/AK WALKER&MALLOT MY GRANDSON,hqqEfMXUUa4,1,0,1,0,0
GOV/AK WALKER&MALLOT RECENT POLL,oXvTqm1AOIU,1,1,0,1,1
GOV/AL GRIFFITH ATTACKING,k5vNM-yLZkc,1,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,0,0,1,0,0
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,1,0,1,0,0
GOV/AL GRIFFITH MORE BENTLEY LIES,3sTUneQ7-4g,1,1,0,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,1,1,0,0,1
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,1,0,1,0,0
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,1,0,1,0,0
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,1,0,1,0,0
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,1,0,1,0,0
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,1,0,1,1,0
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,1,0,1,0,0
GOV/AR HUTCHINSON NEXT GOVERNOR,sYHYxkPGOig,1,0,1,0,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,Y5vw0Y9DMlU,1,0,1,0,0
GOV/AZ DUCEY AS A BUSINESSMAN,RwjyI-Pttnc,1,0,1,1,1
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,0,0,1,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,1,0,1,0,0
GOV/AZ DUCEY SERVING ICE CREAM,5oSrQSOj45c,1,0,1,0,0
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,0,1,0,1,1
GOV/AZ DUVAL GRANT WOODS,HHYSQH4TyOo,1,0,1,0,0
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,0,1,0,0,1
GOV/AZ DUVAL WRONG DIRECTION,YXiW9bOeM-4,1,1,1,0,1
GOV/CA KASHKARI WHEN KIDS,pEZFdmwqG3Q,1,1,0,0,1
GOV/CO BEAUPREZ ITS SIMPLE,BuzCoRpcfb8,1,0,1,0,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,0,1,0,0,1
GOV/CT FOLEY ARE YOU HAPPY,sn89t5tFoMo,1,0,1,0,0
GOV/CT FOLEY ARE YOU HAPPY 60,S_p7YhlObdo,1,0,1,0,0
GOV/CT FOLEY ARE YOU HAPPY REV,GtmNQJG7s4s,1,0,1,0,0
GOV/CT FOLEY BIG SQUEEZE,N2Odah7T8K4,1,1,1,0,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,0,0,0,1,1
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,1,1,0,1,1
GOV/CT FOLEY LESLIE,xRdAqQWBdew,0,0,1,1,0
GOV/CT FOLEY MALLOY ANGRY,9FzpVK0GxKs,1,1,1,0,1
GOV/CT FOLEY MORE IMPORTANT,47Wj2ZThqjM,1,0,1,0,0
GOV/CT FOLEY NEW GOVERNOR,b1l0PowUqFg,1,0,1,0,0
GOV/CT FOLEY SUCCESS STORY,yohYluHEbAg,1,0,1,0,0
GOV/CT FOLEY WE HAVE A PLAN,hwoGbOdwDEU,1,0,1,0,0
GOV/DE MARKELL LOSING JOBS 60,wdWYz9dhNaw,1,0,1,0,0
GOV/DE MARKELL RACE TO THE TOP,7C1nQIdYfIU,1,0,1,0,0
GOV/FL CRIST KEEPS SAYING IT,hUZ0XVmgxMg,1,1,0,1,1
GOV/FL CRIST PRIVATE JET,EUK-6XL4Bac,1,1,0,0,1
GOV/FL CRIST UNHEALTHY PROFITS,kiLxUAd0Y_g,1,1,0,0,1
GOV/GA CARTER CAME INTO OFFICE,MI-mMUa01-g,1,1,0,0,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,0,0,1,0,0
GOV/GA CARTER DEAL TALKS ABOUT,ufOCku0DvI4,1,1,0,0,1
GOV/GA CARTER LAST 5 YEARS,8gAn5GZSqXg,1,0,1,0,0
GOV/GA CARTER MY FOCUS,r9kjVsBOtDk,1,1,0,1,1
GOV/GA CARTER MY KIDS 60,GhNUpiqLfk0,1,0,1,1,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,0,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,0,0,1,0,0
GOV/GA CARTER&DPOG REMEMBER,kB5iGvYoJ9w,1,0,0,1,1
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,1,0,1,0,0
GOV/GA DEAL FIRST PLACE,uyIvGoPPZXo,1,0,1,1,1
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,1,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,0,0,1,0,0
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,1,0,1,0,0
GOV/GA DEAL SCORE POLITICAL POINTS,eHpRUiEQWmU,1,1,1,1,1
GOV/GA DEAL SENATOR JASON CARTER 15,8kNNbRLlR8c,1,1,1,0,1
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,0,0,1,0,0
GOV/GA DEAL THREE YEARS IN A ROW 15,USwyevHXkmQ,1,1,0,0,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,1,0,1,0,0
GOV/HI AIONA IT'S TIME,-1NxX8HYP6Q,1,0,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,0,1,1,0,0
GOV/HI AIONA SEE IT EVERYWHERE,hwjCCbaYh00,1,0,1,0,0
GOV/HI AIONA VISION,fGTkaZZ6zWY,1,0,1,0,0
GOV/HI IGE AS A FATHER,1tkpNg_iqaU,1,0,1,1,0
GOV/HI IGE NOVEMBER 4TH,qwkLOWE3I-A,1,0,1,0,0
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,1,0,1,1,0
GOV/HI IGE WORKING CLASS FAMILY,1ueJx5Pwcc4,1,0,1,1,0
GOV/IA BRANSTAD ABOUT YOUR FUTURE,WzpDpISAnZA,1,0,1,0,0
GOV/IA BRANSTAD ASKED,iRtl3ziO8BU,1,0,1,0,0
GOV/IA BRANSTAD CHRIS,LHHoMANdRHc,1,0,1,0,0
GOV/IA BRANSTAD COME A LONG WAY,vlYza3UiCh4,1,0,1,0,0
GOV/IA BRANSTAD EDUCATION IN IOWA,vZ1WdEToJEU,1,0,1,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,1,0,1,0,1
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,1,0,1,0,0
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,1,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,0,0,1,0,0
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,1,0,1,0,0
GOV/IA BRANSTAD OUR COMEBACK,jYmW_TUsKc8,1,0,1,0,0
GOV/IA BRANSTAD OUR COMEBACK 60,sDuA2QHgBVI,1,0,1,0,0
GOV/IA HATCH AS STATE SENATOR,PzjyMJux8ac,1,0,1,0,0
GOV/IA HATCH MUDSLINGING,o5tKdoc06OU,1,1,1,1,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,0,0,0,0,1
GOV/ID BALUKOFF BUSINESS AS USUAL,P3C9CAeRiGc,1,0,1,0,1
GOV/ID BALUKOFF NO STRANGER,HElqk-HGepM,1,0,1,1,0
GOV/ID BALUKOFF ROB WAITE,WmE1BduALJU,1,0,0,1,0
GOV/ID BALUKOFF SONIA GALAVIZ,Qzrqc_Piyfk,1,0,1,0,0
GOV/ID BALUKOFF TAKING SHOTS,IwvyDEw8x2w,1,0,1,0,0
GOV/ID BALUKOFF VIOLATED,VdewR_ys6J0,1,1,0,1,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,0,1,1,0,1
GOV/ID OTTER FALSELY SMEARING,VtlFrYjT1r8,1,1,0,0,1
GOV/ID OTTER MITT ROMNEY,oO2CaDVzmgQ,1,0,1,0,0
GOV/ID OTTER OBAMACARE,ypkT5fqYASg,1,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,0,0,1,0,0
GOV/ID OTTER TRACY KASPER,qcr8Vfn0vMc,1,0,1,0,0
GOV/ID OTTER WE'VE MADE IDAHO,h_D1ZQbt820,1,0,1,0,0
GOV/IL QUINN BROOKPORT,XaO1smHO7MM,1,1,0,1,0
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,0,0,0,1,1
GOV/IL QUINN EYE ON THE BALL,-uuvWTVqf7U,1,0,1,0,0
GOV/IL QUINN FEW THINGS,xSUKpY4ASC8,1,1,0,1,1
GOV/IL QUINN FORD EXPLORER,s7_LmnsC4_I,1,0,1,0,0
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,1,0,1,1,0
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,1,0,0,1,1
GOV/IL QUINN LAWN,GcL1dZE_Eno,1,0,1,0,0
GOV/IL QUINN LOVE,oxZ0ISbIyXU,1,0,1,0,0
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,0,0,1,1,1
GOV/IL QUINN MICHELLE OBAMA,hGDNptr1kbU,1,0,1,0,0
GOV/IL QUINN MILLIONS,mIcT6nHBPTA,1,1,0,0,1
GOV/IL QUINN MILLIONS REV,xTl02xa72Ko,1,1,0,0,1
GOV/IL QUINN RAUNER MINIMUM WAGE,RodqOp6ynP8,1,1,0,1,1
GOV/IL QUINN RAUNER MINIMUM WAGE 2,0VzE3FFqJTg,1,0,0,1,1
GOV/IL QUINN REALLY KNOW,qT4lbu2VMaY,1,1,0,1,1
GOV/IL QUINN SOMEHOW ABLE,qtu4tBoNRBM,1,0,0,1,1
GOV/IL QUINN TWO CANDIDATES,P3hOQtm3SlU,1,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,0,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,0,0,1,0,0
GOV/IN GREGG HOW THEY WOULD GOVERN,ehX19r4Xw-M,1,1,0,0,1
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,0,0,1,1,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,1,0,1,1,0
GOV/IN GREGG PENCE WELCOMES TEA PARTY,wLzy-HiCGak,1,1,0,0,1
GOV/IN PENCE A LIFELONG HOOSIER,xomOUS4mO9U,1,0,1,1,0
GOV/IN PENCE A LIFELONG HOOSIER 60,ERL-X_bDMSc,1,0,1,1,0
GOV/IN PENCE BEST PLACE IN AMERICA,GAzalM8bh9U,1,0,1,0,0
GOV/IN PENCE CHALLENGING TIMES,uOEpXtgPD7g,1,0,1,0,0
GOV/IN PENCE CHALLENGING TIMES REV,gTpr2K0VFPI,1,0,1,0,0
GOV/IN PENCE COMMON SENSE,U7FuNqJfaKY,1,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,0,0,1,0,0
