creative,train,uid,music1,music2,music3,music4
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,0,yx4f2zK67q0,0,1,0,0
GOV/AK WALKER&MALLOT FIVE YEAR OLD,1,9vtaQo5aNOc,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,0,6owFG9s6FIs,0,1,0,0
GOV/AK WALKER&MALLOT MY GRANDSON,1,hqqEfMXUUa4,0,1,0,0
GOV/AK WALKER&MALLOT RECENT POLL,1,oXvTqm1AOIU,1,0,0,1
GOV/AL GRIFFITH ATTACKING,1,k5vNM-yLZkc,0,1,0,0
GOV/AL GRIFFITH BURNING,0,TAU8XCtXDPU,0,1,0,0
GOV/AL GRIFFITH EDUCATION LOTTERY,1,Vcky67wLACM,0,1,0,0
GOV/AL GRIFFITH MORE BENTLEY LIES,1,3sTUneQ7-4g,1,0,0,1
GOV/AL GRIFFITH NOT TELLING THE TRUTH,1,hMWjBrV5nc0,1,0,0,1
GOV/AL GRIFFITH PLAN,1,6g-YbV6rf2E,0,1,0,0
GOV/AL GRIFFITH VIRGINIA,1,lULv86xWBoA,0,1,0,0
GOV/AR HUTCHINSON 16 BILLION,1,OXlpjjV8kBk,0,1,0,0
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,1,PACW-2_IGVQ,0,1,0,0
GOV/AR HUTCHINSON MY TRUCK,1,TYphFN5EF8Q,0,1,1,0
GOV/AR HUTCHINSON NEGATIVITY,1,JSiJYro2UFc,0,1,0,0
GOV/AR HUTCHINSON NEXT GOVERNOR,1,sYHYxkPGOig,0,1,0,0
GOV/AR HUTCHINSON NEXT GOVERNOR REV,1,Y5vw0Y9DMlU,0,1,0,0
GOV/AZ DUCEY AS A BUSINESSMAN,1,RwjyI-Pttnc,0,1,0,1
GOV/AZ DUCEY DIFFERENT RESUMES,0,5hzSXhjPbYo,0,1,1,1
GOV/AZ DUCEY NEXT GOVERNOR,1,8IaDDyIUau0,0,1,0,0
GOV/AZ DUCEY SERVING ICE CREAM,1,5oSrQSOj45c,0,1,0,0
GOV/AZ DUVAL AS CEO,0,IeC30GlAxZQ,1,0,1,1
GOV/AZ DUVAL GRANT WOODS,1,HHYSQH4TyOo,0,1,0,0
GOV/AZ DUVAL INDEPENDENCE,0,rpBxrl4gg4Y,1,0,0,1
GOV/AZ DUVAL WRONG DIRECTION,1,YXiW9bOeM-4,1,1,0,1
GOV/CA KASHKARI WHEN KIDS,1,pEZFdmwqG3Q,1,0,0,1
GOV/CO BEAUPREZ ITS SIMPLE,1,BuzCoRpcfb8,0,1,0,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,0,pO8n630x0GA,1,0,0,1
GOV/CT FOLEY ARE YOU HAPPY,1,sn89t5tFoMo,0,1,0,0
GOV/CT FOLEY ARE YOU HAPPY 60,1,S_p7YhlObdo,0,1,0,0
GOV/CT FOLEY ARE YOU HAPPY REV,1,GtmNQJG7s4s,0,1,0,0
GOV/CT FOLEY BIG SQUEEZE,1,N2Odah7T8K4,1,1,0,1
GOV/CT FOLEY CONNECTICUT LOST,0,c7cUwGf10T0,0,0,1,1
GOV/CT FOLEY HAD HIS CHANCE,1,6bKVq7BNhTU,1,0,1,1
GOV/CT FOLEY LESLIE,0,xRdAqQWBdew,0,1,1,0
GOV/CT FOLEY MALLOY ANGRY,1,9FzpVK0GxKs,1,1,0,1
GOV/CT FOLEY MORE IMPORTANT,1,47Wj2ZThqjM,0,1,0,0
GOV/CT FOLEY NEW GOVERNOR,1,b1l0PowUqFg,0,1,0,0
GOV/CT FOLEY SUCCESS STORY,1,yohYluHEbAg,0,1,0,0
GOV/CT FOLEY WE HAVE A PLAN,1,hwoGbOdwDEU,0,1,0,0
GOV/DE MARKELL LOSING JOBS 60,1,wdWYz9dhNaw,0,1,0,0
GOV/DE MARKELL RACE TO THE TOP,1,7C1nQIdYfIU,0,1,0,0
GOV/FL CRIST KEEPS SAYING IT,1,hUZ0XVmgxMg,1,0,1,1
GOV/FL CRIST PRIVATE JET,1,EUK-6XL4Bac,1,0,0,1
GOV/FL CRIST UNHEALTHY PROFITS,1,kiLxUAd0Y_g,1,0,0,1
GOV/GA CARTER CAME INTO OFFICE,1,MI-mMUa01-g,1,0,0,1
GOV/GA CARTER CAPITOL TODAY,0,8VjivaNnYvA,0,1,0,0
GOV/GA CARTER DEAL TALKS ABOUT,1,ufOCku0DvI4,1,0,0,1
GOV/GA CARTER LAST 5 YEARS,1,8gAn5GZSqXg,0,1,0,0
GOV/GA CARTER MY FOCUS,1,r9kjVsBOtDk,1,0,1,1
GOV/GA CARTER MY KIDS 60,1,GhNUpiqLfk0,0,1,1,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,0,6QzB1Kwrzjo,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,0,2t3aql-wPC8,0,1,0,0
GOV/GA CARTER&DPOG REMEMBER,1,kB5iGvYoJ9w,0,0,1,1
GOV/GA DEAL DAWN PUGH JUSTUS,1,jdpAaBhqILA,0,1,0,0
GOV/GA DEAL FIRST PLACE,1,uyIvGoPPZXo,0,1,1,1
