HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.uid,Input.creative,Input.length,Input.music0,Input.music1,Input.music2,Input.music3,Input.fear,Input.enthusiasm,Input.anger,Input.pride,Input.humor,Input.sadness,Input.yturl,Input.backupurl,Input.vidloc,Answer.Q2,Approve,Reject
3L7SUC0TTVVZFLBR4XT5SHKBJBXM0Y,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,33L7PJKHCHZOWP48Y0CXVUG9VWKT8F,AWTP9JNX0WK2F,Approved,Wed Aug 29 23:18:04 PDT 2018,Wed Aug 29 23:18:32 PDT 2018,Sat Sep 01 23:18:32 PDT 2018,2018-09-02 06:19:20 UTC,,,28,100% (30/30),100% (30/30),100% (30/30),0ZMP90pEUvc,HOUSE/NY18 MALONEY BUILT A BUSINESS 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/0ZMP90pEUvc,http://drive.google.com/uc?export=view&id=1B7R4yyQQ5_VBG1h-urukjKorfyifKC-O,ITH/ITH_Video/hou2012/NY18_Maloney/0ZMP90pEUvc.mp4,music_u|emo_e,,
3L7SUC0TTVVZFLBR4XT5SHKBJBXM0Y,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3I33IC7ZWG38VE3ACJCFQYDEL7WA2X,A1A1A9UHNQCI9Y,Approved,Thu Aug 30 07:14:37 PDT 2018,Thu Aug 30 07:20:34 PDT 2018,Sun Sep 02 07:20:34 PDT 2018,2018-09-02 14:21:23 UTC,,,357,100% (7/7),100% (7/7),100% (7/7),0ZMP90pEUvc,HOUSE/NY18 MALONEY BUILT A BUSINESS 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/0ZMP90pEUvc,http://drive.google.com/uc?export=view&id=1B7R4yyQQ5_VBG1h-urukjKorfyifKC-O,ITH/ITH_Video/hou2012/NY18_Maloney/0ZMP90pEUvc.mp4,music_u|emo_e,,
3L7SUC0TTVVZFLBR4XT5SHKBJBXM0Y,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3OS46CRSLG0G53P9AGFECY83MNN6V1,AEA29X7DRJX31,Approved,Thu Aug 30 11:58:23 PDT 2018,Thu Aug 30 11:59:05 PDT 2018,Sun Sep 02 11:59:05 PDT 2018,2018-09-02 18:59:26 UTC,,,42,100% (34/34),100% (24/24),100% (24/24),0ZMP90pEUvc,HOUSE/NY18 MALONEY BUILT A BUSINESS 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/0ZMP90pEUvc,http://drive.google.com/uc?export=view&id=1B7R4yyQQ5_VBG1h-urukjKorfyifKC-O,ITH/ITH_Video/hou2012/NY18_Maloney/0ZMP90pEUvc.mp4,music_u|emo_e,,
3L7SUC0TTVVZFLBR4XT5SHKBJBXM0Y,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3T111IHZ5FRBUFAQZ3DGVBA2RGO9RO,A2UIGDOLX5RV95,Approved,Wed Aug 29 17:46:49 PDT 2018,Wed Aug 29 17:47:13 PDT 2018,Sat Sep 01 17:47:13 PDT 2018,2018-09-02 00:47:17 UTC,,,24,100% (29/29),100% (29/29),100% (29/29),0ZMP90pEUvc,HOUSE/NY18 MALONEY BUILT A BUSINESS 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/0ZMP90pEUvc,http://drive.google.com/uc?export=view&id=1B7R4yyQQ5_VBG1h-urukjKorfyifKC-O,ITH/ITH_Video/hou2012/NY18_Maloney/0ZMP90pEUvc.mp4,music_u|emo_P|emo_h,,
3L7SUC0TTVVZFLBR4XT5SHKBJBXM0Y,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3TOK3KHVJUJ4JJUHSEYSNKERLBMO74,AHV4U78TUUDKI,Approved,Sat Sep 01 23:08:21 PDT 2018,Sat Sep 01 23:08:44 PDT 2018,Tue Sep 04 23:08:44 PDT 2018,2018-09-05 06:09:00 UTC,,,23,100% (23/23),100% (17/17),100% (17/17),0ZMP90pEUvc,HOUSE/NY18 MALONEY BUILT A BUSINESS 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/0ZMP90pEUvc,http://drive.google.com/uc?export=view&id=1B7R4yyQQ5_VBG1h-urukjKorfyifKC-O,ITH/ITH_Video/hou2012/NY18_Maloney/0ZMP90pEUvc.mp4,music_u|emo_e|emo_P,,
3W31J70BATXOJP64V19985U83VZKCK,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3JV9LGBJWUFNCC5ILH2MTXRKK62OGO,A21HDHQPENLF2X,Approved,Wed Aug 29 18:31:45 PDT 2018,Wed Aug 29 18:32:58 PDT 2018,Sat Sep 01 18:32:58 PDT 2018,2018-09-02 01:33:17 UTC,,,73,100% (29/29),100% (29/29),100% (29/29),9IfFho0OcF0,HOUSE/OH07 HEALY-ABRAMS FIRST TO GRADUATE COLLEGE 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/9IfFho0OcF0,http://drive.google.com/uc?export=view&id=1UcJ9SFWxyGK4xrPyWZxU9XGVhyErloMi,ITH/ITH_Video/hou2012/OH07_HealyAbrams/9IfFho0OcF0.mp4,music_o,,
3W31J70BATXOJP64V19985U83VZKCK,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3L6L49WXW1YLSM6GL14MB2UQD7345T,AWTP9JNX0WK2F,Approved,Wed Aug 29 23:19:53 PDT 2018,Wed Aug 29 23:20:17 PDT 2018,Sat Sep 01 23:20:17 PDT 2018,2018-09-02 06:20:20 UTC,,,24,100% (30/30),100% (30/30),100% (30/30),9IfFho0OcF0,HOUSE/OH07 HEALY-ABRAMS FIRST TO GRADUATE COLLEGE 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/9IfFho0OcF0,http://drive.google.com/uc?export=view&id=1UcJ9SFWxyGK4xrPyWZxU9XGVhyErloMi,ITH/ITH_Video/hou2012/OH07_HealyAbrams/9IfFho0OcF0.mp4,music_u|emo_P,,
3W31J70BATXOJP64V19985U83VZKCK,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3OCHAWUVGPLF87FTCZAXA2A63RIXKZ,A2653BIPJKEMRK,Approved,Wed Aug 29 17:21:48 PDT 2018,Wed Aug 29 17:22:51 PDT 2018,Sat Sep 01 17:22:51 PDT 2018,2018-09-02 00:23:17 UTC,,,63,100% (52/52),100% (30/30),100% (30/30),9IfFho0OcF0,HOUSE/OH07 HEALY-ABRAMS FIRST TO GRADUATE COLLEGE 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/9IfFho0OcF0,http://drive.google.com/uc?export=view&id=1UcJ9SFWxyGK4xrPyWZxU9XGVhyErloMi,ITH/ITH_Video/hou2012/OH07_HealyAbrams/9IfFho0OcF0.mp4,music_u|emo_P,,
3W31J70BATXOJP64V19985U83VZKCK,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3PMBY0YE2847ODL7H6NL6GBGRFLC9L,A2UIGDOLX5RV95,Approved,Wed Aug 29 17:46:18 PDT 2018,Wed Aug 29 17:46:49 PDT 2018,Sat Sep 01 17:46:49 PDT 2018,2018-09-02 00:47:17 UTC,,,31,100% (29/29),100% (29/29),100% (29/29),9IfFho0OcF0,HOUSE/OH07 HEALY-ABRAMS FIRST TO GRADUATE COLLEGE 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/9IfFho0OcF0,http://drive.google.com/uc?export=view&id=1UcJ9SFWxyGK4xrPyWZxU9XGVhyErloMi,ITH/ITH_Video/hou2012/OH07_HealyAbrams/9IfFho0OcF0.mp4,music_u|emo_P,,
3W31J70BATXOJP64V19985U83VZKCK,3XYCBL6ZTDWTYH0TX9YL7U4LWOH2ST,Ad Music and Emotion Classification - 15 sec. videos,Watch 15 sec. video of election campaign ad and answer two simple questions about the kinds of music and emotional appeals used. Expected completion time is 1 minute for each HIT. You can take up to 30 of our HITs,"video, campaign, advertisement, classification, music, emotion",$0.15,Wed Aug 29 17:08:02 PDT 2018,5,BatchId:3356448;OriginalHitTemplateId:920937332;,600,259200,Wed Sep 05 17:08:02 PDT 2018,,,3VNL7UK1XGKXB4EV6EI35MXVIZNFT6,A3V9JFVZQ2XF4Y,Approved,Wed Aug 29 19:38:49 PDT 2018,Wed Aug 29 19:39:54 PDT 2018,Sat Sep 01 19:39:54 PDT 2018,2018-09-02 02:40:17 UTC,,,65,100% (26/26),100% (5/5),100% (5/5),9IfFho0OcF0,HOUSE/OH07 HEALY-ABRAMS FIRST TO GRADUATE COLLEGE 15,15,0,0,1,0,0,1,0,0,0,0,https://www.youtube.com/embed/9IfFho0OcF0,http://drive.google.com/uc?export=view&id=1UcJ9SFWxyGK4xrPyWZxU9XGVhyErloMi,ITH/ITH_Video/hou2012/OH07_HealyAbrams/9IfFho0OcF0.mp4,music_u|emo_e|emo_P,,
